FASTRESS-ID,apple_g_pre,apple_pcs_pre,cake_g_pre,cake_pcs_pre,chocolate_g_pre,chocolate_pcs_pre,nuts_g_pre,nuts_pcs_pre,cracker_g_pre,cracker_pcs_pre,chips_g_pre,chips_pcs_pre,apple_g_post,apple_pcs_post,cake_g_post,cake_pcs_post,chocolate_g_post,chocolate_pcs_post,nuts_g_post,nuts_pcs_post,cracker_g_post,cracker_pcs_post,chips_g_post,chips_pcs_post,apple_order,cake_order,chocolate_order,nuts_order,cracker_order,chips_order,Notes
sub-006,101.0,24.0,41.0,6.0,28.0,6.0,28.0,12.0,19.0,4.0,32.0,13.0,92.0,19.0,32.0,5.0,23.0,4.5,26.0,11.0,14.0,3.0,32.0,12.25,1,2,4,5,3,6,
sub-007,128.0,24.0,37.0,6.0,29.0,6.0,29.0,12.0,19.0,4.0,34.0,13.0,119.0,23.0,11.0,2.0,19.0,4.0,27.0,11.0,14.0,3.0,5.0,2.0,1,6,4,3,2,5,
sub-001,102.0,21.0,47.0,6.0,29.0,6.0,33.0,12.0,19.0,4.0,34.0,13.0,0.0,0.0,25.0,3.0,0.0,0.0,9.0,4.0,0.0,0.0,8.0,3.0,6,4,5,2,1,3,
sub-002,105.0,23.0,49.0,6.0,30.0,6.0,29.0,12.0,18.0,4.0,34.0,13.0,0.0,0.0,31.0,4.0,15.0,3.0,0.0,0.0,15.0,3.0,29.0,11.0,3,4,2,1,5,6,
sub-005,157.0,30.0,52.0,6.0,32.0,6.0,31.0,12.0,20.0,4.0,33.0,13.0,150.0,29.0,45.0,5.0,25.0,5.0,28.0,11.5,14.0,3.0,31.0,12.0,3,6,4,1,5,2,
sub-003,150.0,29.0,54.0,6.0,30.0,6.0,30.0,12.0,19.0,4.0,32.0,13.0,113.0,29.0,54.0,6.0,30.0,6.0,29.0,11.0,15.0,3.0,17.0,7.0,4,1,5,3,6,2,
sub-004,121.0,19.0,49.0,6.0,31.0,6.0,32.0,12.0,19.0,4.0,32.0,13.0,0.0,0.0,0.0,0.0,15.0,3.0,19.0,7.0,15.0,3.0,0.0,0.0,1,6,2,3,5,4,
sub-008,121.0,19.0,52.0,6.0,30.0,6.0,30.0,12.0,20.0,4.0,33.0,13.0,0.0,0.0,41.0,5.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,5,2,3,4,
sub-009,123.0,20.0,51.0,6.0,28.0,6.0,28.0,12.0,19.0,4.0,32.0,13.0,76.0,12.0,27.0,3.0,24.0,5.0,24.0,10.0,10.0,2.0,26.0,11.0,5,3,6,2,4,1,
sub-015,177.0,30.0,48.0,6.0,28.0,6.0,31.0,12.0,19.0,4.0,32.0,13.0,75.0,12.0,24.0,3.0,14.0,3.0,13.0,5.0,0.0,0.0,7.0,3.0,1,6,5,2,4,3,
sub-017,167.0,27.0,46.0,6.0,29.0,6.0,30.0,12.0,19.0,4.0,32.0,13.0,101.0,17.0,38.0,5.0,26.0,5.5,22.0,9.0,17.0,3.5,30.0,12.0,6,1,2,5,3,4,
sub-016,119.0,20.0,40.0,6.0,33.0,6.0,31.0,12.0,19.0,4.0,36.0,13.0,29.0,5.0,26.0,4.0,27.0,5.0,24.0,10.0,15.0,3.0,20.0,7.0,1,2,6,3,5,4,
